added_route_id,trip_id
442,54950731
441,54950735
442,54950735
441,54950736
442,54950736
441,54950737
442,54950737
441,54950741
442,54950741
441,54950742
442,54950742
441,54950745
442,54950745
441,54950755
442,54950755
441,54950758
442,54950758
441,54950772
442,54950772
441,54950773
442,54950773
441,54950797
442,54950797
441,54950799
442,54950799
441,54950801
442,54950801
441,54950806
442,54950806
62,54243761
76,54243761
62,54243773
76,54243773
62,54243776
76,54243776
62,54243799
76,54243799
62,54243800
76,54243800
62,54243801
76,54243801
62,54243806
76,54243806
62,54243811
76,54243811
62,54243787
76,54243787
62,54243815
76,54243815
62,54248626
76,54248626
62,54248628
76,54248628
62,54248630
76,54248630
62,54248632
76,54248632
62,54248634
76,54248634
62,54248636
76,54248636
62,54248639
76,54248639
62,54248641
76,54248641
62,54248643
76,54248643
62,54248645
76,54248645
62,54248647
76,54248647
62,54248649
76,54248649
62,54255690
76,54255690
62,54255692
76,54255692
62,54255694
76,54255694
62,54255696
76,54255696
62,54255698
76,54255698
62,54255700
76,54255700
62,54255703
76,54255703
62,54255705
76,54255705
62,54255707
76,54255707
62,54255709
76,54255709
62,54255711
76,54255711
62,54255713
76,54255713
62,54246210
76,54246210
62,54246222
76,54246222
62,54246225
76,54246225
62,54246248
76,54246248
62,54246249
76,54246249
62,54246250
76,54246250
62,54246255
76,54246255
62,54246260
76,54246260
62,54246236
76,54246236
62,54246264
76,54246264
62,54243759
76,54243759
62,54243779
76,54243779
62,54243805
76,54243805
62,54243809
76,54243809
62,54243816
76,54243816
62,54243772
76,54243772
62,54243775
76,54243775
62,54243804
76,54243804
62,54243807
76,54243807
62,54243814
76,54243814
62,54248627
76,54248627
62,54248629
76,54248629
62,54248631
76,54248631
62,54248633
76,54248633
62,54248635
76,54248635
62,54248637
76,54248637
62,54248638
76,54248638
62,54248640
76,54248640
62,54248642
76,54248642
62,54248644
76,54248644
62,54248646
76,54248646
62,54248648
76,54248648
62,54255691
76,54255691
62,54255693
76,54255693
62,54255695
76,54255695
62,54255697
76,54255697
62,54255699
76,54255699
62,54255701
76,54255701
62,54255702
76,54255702
62,54255704
76,54255704
62,54255706
76,54255706
62,54255708
76,54255708
62,54255710
76,54255710
62,54255712
76,54255712
62,54246208
76,54246208
62,54246228
76,54246228
62,54246254
76,54246254
62,54246258
76,54246258
62,54246265
76,54246265
62,54246221
76,54246221
62,54246224
76,54246224
62,54246253
76,54246253
62,54246256
76,54246256
62,54246263
76,54246263
741,54992909
742,54992909
743,54992909
741,54992917
742,54992917
743,54992917
741,54992918
742,54992918
743,54992918
741,54992945
742,54992945
743,54992945
741,54992957
742,54992957
743,54992957
741,54992973
742,54992973
743,54992973
741,54993016
742,54993016
743,54993016
741,54993048
742,54993048
743,54993048
741,54993054
742,54993054
743,54993054
741,54993109
742,54993109
743,54993109
741,54993893
742,54993893
743,54993893
741,54993894
742,54993894
743,54993894
741,54993895
742,54993895
