trip_id,trip_property_id,value
53306666-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306673-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306673-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306685-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306685-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306688-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306688-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306697-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306697-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306699-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306699-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306708-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306708-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306770-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306770-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306772-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306772-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306776-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306776-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306777-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306777-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306779-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306779-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306816-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306816-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306866-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306866-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306909-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
